DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P23S2R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
1;2;15;15837;1; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;40; ; ; ;1; ; ; ;1
2;2;15;15135;1; ;1;1;51;1;3;1;1;1;6;4;4;4;4;4;4;4;4;2;1; ; ; ; ; ;1; ; ;1; ;1;1; ;2;2;2;2;2; ; ; ; ; ;1;5; ;30;5;8;9; ;2;1;1;2;2;2;3; ;1; ; ; ; ;1;1;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
3;2;05;05615;1; ;1;1;47;2;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2; ; ; ; ;2;7; ;10;1;5;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;5;5; ;2;2;1;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ;3; ;1;2; ; ; ; ; ; ; ;1; ;1;2;1;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
4;2;05;05615;1; ;1;1;26;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;4;0;5;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;5; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;18; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
5;2;15;15135;1; ;4;1;62;1;3;1;1;1;6;3;3;2;3;3;3;3;3;3;1; ; ;1; ; ; ; ; ; ; ;1;1; ;2;2;2;2;2; ; ; ; ; ;1;11; ;42;7;4;3; ;1;2;1;2;1;2;1;1;1; ; ; ; ;1;1;1;2;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
6;2;05;05615;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;63; ; ; ;1; ; ; ;1
7;2;05;05615;1; ;1;1;46;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;5;11;5;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;1;2;2;2;2;2;2; ; ;16; ; ; ; ; ; ;3; ;1;2; ; ; ; ; ; ;1; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
8;2;05;05615;1; ;1;1;29;2;5;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;1;11;4;3; ;2;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;3;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;1;5; ; ; ; ; ; ; ; ; ;1
9;2;05;05615;1; ;1;1;56;1;3;1;1;1;6;4;4;3;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;3;0;5;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;5; ;1;1;2;2;2;2;2;2;2;19;46; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
10;2;41;41524;1; ;1;1;59;1;3;2;1;1;6;4;4;2;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;20;0;4;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;9; ;1;2;2;2;2;2;2;2;2;17; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
